Customer_ID,Age,Gender,Region,Total_Purchases,Satisfaction_Score,Churn
1,23,Female,South,76,3.3,False
2,34,Female,East,9,2.2,True
3,53,Male,South,47,4.9,False
4,39,Male,West,31,4.0,False
5,21,Female,South,85,2.9,False
6,27,Female,West,40,3.2,False
7,49,Female,West,49,1.4,False
8,64,Female,South,52,3.8,False
9,66,Male,East,42,3.4,False
10,69,Male,West,99,4.8,False
11,66,Male,East,86,3.2,False
12,60,Male,West,6,1.1,True
13,21,Female,East,15,3.9,False
14,30,Female,East,28,1.7,False
15,36,Male,East,50,3.4,False
16,63,Male,West,64,3.4,False
17,60,Male,East,75,4.7,False
18,55,Female,West,10,3.0,False
19,65,Male,East,39,4.0,False
20,43,Male,East,95,1.4,False
21,47,Male,North,20,5.0,False
22,60,Male,West,4,2.6,True
23,48,Male,West,46,4.4,False
24,68,Male,South,76,4.1,False
25,55,Male,West,27,2.0,False
26,29,Male,South,49,4.4,False
27,36,Male,North,6,2.1,True
28,40,Male,East,53,4.7,False
29,67,Male,East,36,1.2,False
30,63,Female,North,22,3.6,False
31,58,Male,South,89,2.5,False
32,27,Female,West,61,3.0,False
33,32,Female,West,32,2.7,False
34,67,Male,North,52,4.2,False
35,34,Female,East,77,4.9,False
36,69,Female,West,52,1.6,False
37,30,Male,West,77,3.1,False
38,41,Male,South,53,4.2,False
39,33,Male,West,30,3.9,False
40,56,Female,North,29,3.1,False
41,55,Female,South,97,2.5,False
42,47,Female,East,42,4.2,False
43,62,Male,East,31,2.5,False
44,61,Male,East,31,3.6,False
45,32,Female,North,30,4.4,False
46,21,Female,East,78,3.5,False
47,61,Male,South,23,1.5,False
48,69,Female,West,97,3.3,False
49,27,Male,South,28,2.8,False
50,57,Female,North,40,4.7,False
51,63,Male,North,32,3.4,False
52,63,Male,West,90,4.0,False
53,49,Male,West,68,3.5,False
54,38,Female,West,23,5.0,False
55,46,Female,North,14,4.2,False
56,47,Female,West,97,4.2,False
57,24,Female,South,69,2.9,False
58,59,Female,North,74,4.6,False
59,46,Male,West,73,3.4,False
60,27,Male,North,8,3.2,False
61,67,Female,South,77,3.4,False
62,39,Female,North,57,4.0,False
63,34,Male,East,77,1.1,False
64,35,Female,South,48,3.3,False
65,63,Male,North,2,4.4,False
66,22,Male,South,86,2.5,False
67,56,Female,East,34,1.8,False
68,34,Female,South,54,1.5,False
69,51,Male,East,52,3.3,False
70,21,Female,North,12,2.4,True
71,58,Female,East,55,4.0,False
72,25,Female,East,69,4.3,False
73,43,Female,East,46,4.6,False
74,42,Female,East,33,1.0,False
75,53,Male,South,86,4.3,False
76,60,Female,South,28,3.5,False
77,56,Male,East,11,2.3,True
78,28,Male,North,55,2.3,False
79,20,Male,West,37,3.2,False
80,61,Male,West,23,1.0,False
81,57,Male,South,75,2.3,False
82,45,Female,West,39,4.6,False
83,56,Female,East,87,3.6,False
84,42,Female,East,77,1.6,False
85,39,Male,South,87,4.3,False
86,30,Male,West,57,3.9,False
87,21,Male,North,78,1.3,False
88,45,Male,East,97,4.9,False
89,36,Male,North,17,4.3,False
90,20,Female,East,15,1.6,True
91,44,Male,East,71,4.5,False
92,28,Female,West,38,4.7,False
93,23,Male,North,94,3.0,False
94,65,Male,South,28,2.2,False
95,48,Male,North,86,3.3,False
96,46,Male,North,67,3.8,False
97,25,Female,West,65,2.0,False
98,28,Female,East,3,2.1,True
99,26,Male,South,96,4.1,False
100,48,Female,North,78,3.7,False
101,18,Female,South,99,2.4,False
102,24,Female,South,22,2.5,False
103,27,Male,South,22,3.9,False
104,26,Male,North,92,2.4,False
105,30,Female,East,5,2.2,True
106,44,Female,South,85,4.1,False
107,35,Female,East,69,2.7,False
108,33,Male,East,49,4.2,False
109,21,Male,North,5,4.2,False
110,47,Female,North,87,4.8,False
111,55,Female,North,67,3.6,False
112,37,Female,North,3,3.8,False
113,58,Female,East,9,2.7,True
114,29,Male,West,9,3.4,False
115,45,Female,West,26,1.8,False
116,61,Male,East,11,3.6,False
117,18,Female,West,58,4.6,False
118,26,Male,North,41,1.7,False
119,59,Male,East,32,3.1,False
120,66,Female,West,19,1.9,True
121,50,Male,North,93,1.3,False
122,18,Female,East,86,1.3,False
123,59,Male,East,55,1.9,False
124,26,Male,North,71,2.4,False
125,39,Male,North,93,1.9,False
126,26,Female,East,14,4.2,False
127,22,Male,West,17,1.3,True
128,19,Female,East,12,1.2,True
129,31,Female,North,57,1.7,False
130,29,Male,East,91,1.9,False
131,46,Male,South,9,3.7,False
132,33,Male,South,13,1.0,True
133,65,Female,West,67,4.7,False
134,26,Female,South,80,2.1,False
135,68,Male,North,33,1.4,False
136,49,Male,West,69,4.8,False
137,41,Female,North,87,4.6,False
138,37,Male,South,39,1.3,False
139,37,Female,East,35,2.8,False
140,68,Male,East,15,3.5,False
141,59,Female,North,37,4.1,False
142,60,Male,North,16,4.9,False
143,69,Female,West,48,4.0,False
144,22,Male,North,5,3.2,False
145,37,Male,South,16,1.1,True
146,33,Female,South,49,1.8,False
147,36,Male,West,4,4.5,False
148,29,Female,South,9,2.6,True
149,34,Female,West,13,1.4,True
150,51,Male,North,87,4.2,False
151,44,Male,South,68,1.5,False
152,58,Male,West,88,2.1,False
153,43,Male,East,47,1.1,False
154,67,Male,South,50,2.2,False
155,51,Male,North,93,4.3,False
156,38,Male,South,95,2.8,False
157,59,Male,West,75,1.8,False
158,58,Female,South,2,2.9,True
159,20,Male,East,95,1.0,False
160,58,Female,West,52,3.8,False
161,53,Female,West,77,1.0,False
162,46,Female,West,95,2.3,False
163,62,Male,South,24,1.7,False
164,36,Male,South,11,4.8,False
165,38,Female,West,47,1.5,False
166,29,Male,North,76,3.4,False
167,61,Male,East,78,2.5,False
168,40,Male,East,64,3.9,False
169,64,Male,West,60,2.3,False
170,45,Female,South,88,1.4,False
171,29,Female,East,42,1.2,False
172,19,Male,North,35,5.0,False
173,47,Male,East,71,4.9,False
174,29,Male,West,82,1.9,False
175,56,Female,West,91,1.4,False
176,56,Female,South,62,3.4,False
177,35,Female,South,90,3.8,False
178,41,Male,South,15,3.9,False
179,29,Male,North,35,4.7,False
180,35,Male,North,83,2.0,False
181,23,Male,East,56,1.9,False
182,25,Female,South,59,1.3,False
183,66,Female,North,70,1.6,False
184,32,Female,West,38,3.6,False
185,61,Male,North,92,2.9,False
186,24,Male,East,4,3.9,False
187,46,Male,South,52,3.5,False
188,42,Male,East,36,3.8,False
189,30,Male,South,41,3.1,False
190,49,Female,West,79,4.8,False
191,29,Male,West,69,3.7,False
192,65,Female,South,9,3.8,False
193,42,Female,East,88,4.5,False
194,36,Female,North,53,3.4,False
195,59,Male,South,10,1.9,True
196,33,Female,West,98,2.7,False
197,29,Female,South,38,3.9,False
198,52,Female,North,74,4.7,False
199,53,Female,North,30,2.9,False
200,41,Female,East,47,1.9,False
201,50,Male,West,49,2.3,False
202,53,Female,North,48,2.7,False
203,21,Female,North,81,3.9,False
204,52,Female,East,66,1.4,False
205,67,Female,East,46,1.2,False
206,67,Male,West,61,5.0,False
207,25,Female,East,89,2.4,False
208,25,Male,South,32,2.0,False
209,24,Female,South,31,3.5,False
210,57,Female,West,4,4.7,False
211,42,Female,South,6,2.8,True
212,65,Male,North,49,4.2,False
213,52,Male,North,94,2.1,False
214,32,Male,East,97,3.1,False
215,35,Male,East,34,3.2,False
216,28,Male,West,73,1.9,False
217,47,Male,South,4,3.3,False
218,46,Male,West,88,3.3,False
219,40,Male,South,79,3.3,False
