Month,Product_Type,Market_Growth,Competitor_Sales
2023-05,Cheese,0.06,41158
2023-10,Yogurt,0.16,38447
2023-09,Magic Yogurt,0.42,41662
2023-06,Milk,0.06,33872
2023-05,Milk,0.1,52970
2023-09,Milk,0.08,44117
2023-02,Cheese,0.09,48109
2023-08,Yogurt,0.14,52775
2023-06,Cheese,-0.08,42186
2023-05,Milk,0.14,38373
2023-09,Yogurt,0.07,59189
2023-05,Milk,0.02,44309
2023-06,Yogurt,-0.08,57131
2023-01,ChocoMilk Deluxe,-0.01,38409
2023-01,Cheese,0.02,33378
2023-10,Yogurt,0.09,55696
2023-08,Yogurt,-0.02,36939
2023-01,Milk,-0.08,30489
2023-01,Yogurt,0.12,42309
2023-12,Yogurt,-0.1,36617
2023-10,ChocoMilk Deluxe,0.08,55100
2023-05,Milk,0.01,59391
2023-09,ChocoMilk Deluxe,0.03,31957
2023-08,Milk,0.1,46389
2023-10,Yogurt,0.13,55710
2023-01,ChocoMilk Deluxe,0.13,38826
2023-12,Milk,0.08,59935
2023-07,Yogurt,0.14,58754
2023-02,Milk,-0.01,51523
2023-08,Milk,0.12,36196
2023-01,Cheese,0.18,58334
2023-03,Magic Yogurt,0.42,50005
2023-02,Yogurt,0.12,51903
2023-03,Milk,0.0,32807
2023-02,Yogurt,-0.09,32709
2023-10,ChocoMilk Deluxe,0.2,42164
2023-08,Milk,-0.08,35632
2023-06,Milk,0.07,42620
2023-03,Yogurt,-0.0,45250
2023-06,Milk,0.08,59833
2023-07,Cheese,0.12,37173
2023-01,Cheese,-0.02,37967
2023-07,Yogurt,0.01,52306
2023-02,ChocoMilk Deluxe,0.15,43826
2023-09,Milk,-0.07,39803
2023-06,Yogurt,0.18,58807
2023-10,ChocoMilk Deluxe,-0.04,58482
2023-10,Cheese,-0.01,50738
2023-06,Cheese,0.04,47683
2023-02,Yogurt,0.18,54629
2023-11,Magic Yogurt,0.42,50407
2023-03,Cheese,0.08,56382
2023-02,Cheese,-0.07,30859
2023-05,ChocoMilk Deluxe,-0.0,34933
2023-05,Cheese,0.18,50211
2023-11,Milk,0.03,58195
2023-03,Magic Yogurt,0.42,52967
2023-09,Magic Yogurt,0.42,45359
