Production_Date,Product_Type,Output_Units,Waste_Units,Quality_Score
2023-01-01 00:00:00,Yogurt,5981,209.0,91.38
2023-01-01 01:00:00,ChocoMilk Deluxe,5078,194.0,89.25
2023-01-01 02:00:00,Yogurt,4224,307.5,72.98
2023-01-01 03:00:00,Cheese,9579,472.0,87.69
2023-01-01 04:00:00,Cheese,2682,193.5,79.28
2023-01-01 05:00:00,Cheese,6883,574.5,76.1
2023-01-01 06:00:00,ChocoMilk Deluxe,8305,283.5,78.92
2023-01-01 07:00:00,Milk,3137,424.0,82.38
2023-01-01 08:00:00,Cheese,6474,51.0,82.13
2023-01-01 09:00:00,Cheese,5496,358.0,80.51
2023-01-01 10:00:00,Yogurt,4639,113.0,98.49
2023-01-01 11:00:00,Yogurt,9899,541.5,76.26
2023-01-01 12:00:00,ChocoMilk Deluxe,8659,383.0,86.66
2023-01-01 13:00:00,Yogurt,2069,0.0,84.46
2023-01-01 14:00:00,Yogurt,9956,149.0,85.26
2023-01-01 15:00:00,Yogurt,9445,222.0,75.51
2023-01-01 16:00:00,Yogurt,7185,169.0,84.04
2023-01-01 17:00:00,Milk,9782,125.0,84.29
2023-01-01 18:00:00,Cheese,7903,186.0,72.05
2023-01-01 19:00:00,Yogurt,8294,8.0,83.56
2023-01-01 20:00:00,Milk,9589,673.5,77.08
2023-01-01 21:00:00,ChocoMilk Deluxe,4578,497.0,83.53
2023-01-01 22:00:00,Milk,4107,4.0,98.18
2023-01-01 23:00:00,Cheese,6141,307.0,83.99
2023-01-02 00:00:00,Milk,9301,286.5,76.0
2023-01-02 01:00:00,Milk,4811,450.0,90.94
2023-01-02 02:00:00,Milk,3415,198.0,83.43
2023-01-02 03:00:00,Milk,9350,87.0,75.6
2023-01-02 04:00:00,Cheese,9120,298.0,80.83
2023-01-02 05:00:00,Yogurt,5525,386.0,85.79
2023-01-02 06:00:00,Milk,3001,465.0,71.77
2023-01-02 07:00:00,Milk,7111,319.0,81.02
2023-01-02 08:00:00,Milk,3118,25.5,72.3
2023-01-02 09:00:00,Cheese,9820,438.0,71.82
2023-01-02 10:00:00,ChocoMilk Deluxe,5248,159.0,77.25
2023-01-02 11:00:00,Cheese,9039,177.0,86.92
2023-01-02 12:00:00,Yogurt,8845,59.0,84.4
2023-01-02 13:00:00,Milk,2590,65.0,94.79
2023-01-02 14:00:00,Cheese,3431,199.5,74.42
2023-01-02 15:00:00,Cheese,7276,307.0,97.29
2023-01-02 16:00:00,Cheese,1481,433.0,80.09
2023-01-02 17:00:00,Cheese,6605,204.0,75.5
2023-01-02 18:00:00,Cheese,9723,132.0,92.68
2023-01-02 19:00:00,Yogurt,1623,284.0,82.29
2023-01-02 20:00:00,Yogurt,1783,498.0,70.45
2023-01-02 21:00:00,Yogurt,7797,316.5,71.06
2023-01-02 22:00:00,Milk,5141,385.5,76.49
2023-01-02 23:00:00,ChocoMilk Deluxe,7056,447.0,76.36
2023-01-03 00:00:00,ChocoMilk Deluxe,7161,414.0,76.48
2023-01-03 01:00:00,Cheese,7608,342.0,91.43
