Month,Product_Type,Region,Sales_Amount
2023-07,Yogurt,North,7017
2023-04,Cheese,West,25774
2023-11,Yogurt,South,29937
2023-08,Cheese,South,29798
2023-05,Milk,North,12582
2023-07,Yogurt,South,27069
2023-10,ChocoMilk Deluxe,North,250490
2023-03,Yogurt,East,10206
2023-07,Cheese,South,22606
2023-11,ChocoMilk Deluxe,North,138610
2023-11,Cheese,North,21846
2023-08,Milk,West,9817
2023-05,Cheese,South,22183
2023-04,Yogurt,West,21516
2023-08,ChocoMilk Deluxe,North,248170
2023-08,Cheese,East,12092
2023-03,Milk,East,31749
2023-06,Yogurt,South,27308
2023-05,ChocoMilk Deluxe,East,224510
2023-02,Milk,South,20416
2023-08,ChocoMilk Deluxe,South,273580
2023-12,Cheese,North,30588
2023-06,Yogurt,North,29841
2023-02,Cheese,North,17609
2023-12,Cheese,West,6239
2023-05,Yogurt,North,21500
2023-01,ChocoMilk Deluxe,South,165010
2023-12,Cheese,North,29407
2023-10,Cheese,West,13723
2023-06,Milk,North,32338
2023-12,Milk,East,6974
2023-09,Yogurt,South,23865
2023-01,Milk,East,10010
2023-11,Yogurt,East,38569
2023-11,Cheese,West,7608
2023-10,ChocoMilk Deluxe,East,219130
2023-12,Milk,North,12278
2023-12,Milk,South,7563
2023-03,Milk,East,24562
2023-12,ChocoMilk Deluxe,East,230420
2023-07,Cheese,South,18325
2023-04,Milk,North,23971
2023-09,ChocoMilk Deluxe,East,145020
2023-03,ChocoMilk Deluxe,South,192910
2023-05,ChocoMilk Deluxe,North,52170
2023-03,Milk,North,16464
2023-07,Cheese,North,21680
2023-05,Yogurt,West,23915
2023-09,Cheese,North,9208
2023-07,Milk,North,13880
2023-02,Milk,South,22940
2023-04,ChocoMilk Deluxe,West,256400
2023-09,Milk,North,11953
2023-12,Yogurt,East,21324
2023-02,Cheese,West,30621
2023-10,Yogurt,South,11242
2023-09,Yogurt,West,15838
2023-10,Cheese,East,20703
2023-05,Cheese,West,23698
2023-02,Yogurt,East,39805
2023-04,Cheese,North,5225
2023-12,Yogurt,North,13670
2023-12,Yogurt,West,29798
2023-07,Yogurt,West,14907
