Shipment_ID,Product_Type,Supplier,Delivery_Time_Days,On_Time_Delivery
1,Cheese,Supplier_A,8,False
2,Cheese,Supplier_B,4,False
3,Milk,Supplier_B,7,False
4,Yogurt,Supplier_X,1,True
5,ChocoMilk Deluxe,Supplier_B,1,True
6,Cheese,Supplier_B,4,True
7,Cheese,Supplier_B,8,True
8,Yogurt,Supplier_C,4,False
9,Cheese,Supplier_A,3,True
10,ChocoMilk Deluxe,Supplier_B,5,True
11,Cheese,Supplier_C,6,False
12,Milk,Supplier_X,1,True
13,ChocoMilk Deluxe,Supplier_C,6,False
14,Cheese,Supplier_A,7,True
15,ChocoMilk Deluxe,Supplier_B,3,True
16,Cheese,Supplier_X,1,True
17,Milk,Supplier_A,4,False
18,Yogurt,Supplier_X,1,True
19,Milk,Supplier_A,4,True
20,Milk,Supplier_B,6,False
21,ChocoMilk Deluxe,Supplier_A,5,False
22,Milk,Supplier_C,9,False
23,Milk,Supplier_C,5,False
24,Yogurt,Supplier_B,6,True
25,Cheese,Supplier_A,3,True
26,ChocoMilk Deluxe,Supplier_B,5,True
27,Cheese,Supplier_A,4,False
28,Yogurt,Supplier_C,9,False
29,ChocoMilk Deluxe,Supplier_B,7,False
30,Cheese,Supplier_A,5,False
31,Yogurt,Supplier_B,2,False
32,Milk,Supplier_C,9,False
33,Cheese,Supplier_C,11,False
34,Milk,Supplier_A,5,True
35,Milk,Supplier_X,1,True
36,Yogurt,Supplier_C,6,False
37,Cheese,Supplier_B,3,True
38,Cheese,Supplier_C,10,False
39,Milk,Supplier_B,9,True
40,Cheese,Supplier_B,6,False
41,Yogurt,Supplier_B,8,True
42,Milk,Supplier_B,1,True
43,Cheese,Supplier_C,9,False
44,Milk,Supplier_C,11,False
45,ChocoMilk Deluxe,Supplier_B,9,True
46,Yogurt,Supplier_C,4,False
47,Yogurt,Supplier_B,9,False
48,Yogurt,Supplier_A,5,False
49,Cheese,Supplier_B,9,True
50,Milk,Supplier_C,5,False
51,Yogurt,Supplier_C,4,False
52,Milk,Supplier_A,3,False
53,ChocoMilk Deluxe,Supplier_B,2,False
54,Cheese,Supplier_A,2,True
55,Yogurt,Supplier_B,1,False
56,ChocoMilk Deluxe,Supplier_C,11,False
57,ChocoMilk Deluxe,Supplier_X,1,True
58,Yogurt,Supplier_C,7,False
59,ChocoMilk Deluxe,Supplier_X,1,True
60,Cheese,Supplier_B,7,False
61,Yogurt,Supplier_A,1,True
62,Yogurt,Supplier_C,7,False
63,ChocoMilk Deluxe,Supplier_C,9,False
64,Yogurt,Supplier_B,7,True
65,Yogurt,Supplier_B,9,True
66,Cheese,Supplier_A,2,True
67,ChocoMilk Deluxe,Supplier_A,5,True
68,ChocoMilk Deluxe,Supplier_X,1,True
69,Milk,Supplier_A,9,True
70,Milk,Supplier_X,1,True
71,ChocoMilk Deluxe,Supplier_A,4,True
72,Yogurt,Supplier_C,8,False
73,Yogurt,Supplier_A,6,True
74,Milk,Supplier_C,7,False
75,ChocoMilk Deluxe,Supplier_X,1,True
76,ChocoMilk Deluxe,Supplier_C,12,False
77,ChocoMilk Deluxe,Supplier_A,8,False
78,Cheese,Supplier_C,10,False
